date,time,meal_name,food_name,grams
2026-03-01,08:00,08:00,húsleves alaplé,210.0
2026-03-01,08:00,08:00,basmati rizs,70.0
2026-03-01,08:00,08:00,csirkemell,100.0
2026-03-01,08:00,08:00,sárgarépa,50.0
2026-03-01,08:00,08:00,cukkini,91.0
2026-03-01,08:00,08:00,tojássárgája,17.0
2026-03-01,08:00,08:00,olívaolaj,7.0
2026-03-01,12:00,12:00,húsleves alaplé,240.0
2026-03-01,12:00,12:00,basmati rizs,80.0
2026-03-01,12:00,12:00,csirkemell,100.0
2026-03-01,12:00,12:00,petrezselyemgyökér,50.0
2026-03-01,12:00,12:00,sárgarépa,50.0
2026-03-01,12:00,12:00,egész zöldbab,75.0
2026-03-01,12:00,12:00,olívaolaj,8.0
2026-03-01,14:30,14:30,banán,56.0
2026-03-01,14:30,14:30,kék áfonya,73.0
2026-03-01,14:30,14:30,puffasztott kukorica,28.0
2026-03-01,14:30,14:30,tökmagolaj,5.5
2026-03-01,16:00,16:00,banán,100.0
2026-03-01,16:00,16:00,eper,50.0
2026-03-01,16:00,16:00,zabpehely,30.0
2026-03-01,16:00,16:00,basmati rizs,50.0
2026-03-01,16:00,16:00,mandulavaj,10.0
2026-03-01,20:00,20:00,sárgaburgonya,273.0
2026-03-01,20:00,20:00,sárgarépa,95.0
2026-03-01,20:00,20:00,cukkini,106.5
2026-03-01,20:00,20:00,ponty filé,100.0
2026-03-01,20:00,20:00,olívaolaj,6.0
2026-03-03,08:00,08:00,basmati rizs,80.0
2026-03-03,08:00,08:00,nyúlhát,56.5
2026-03-03,08:00,08:00,sárgarépa,100.0
2026-03-03,08:00,08:00,cukkini,100.0
2026-03-03,08:00,08:00,kék áfonya,38.5
2026-03-03,08:00,08:00,olívaolaj,5.0
2026-03-03,14:30,14:30,húsleves alaplé,210.0
2026-03-03,14:30,14:30,basmati rizs,70.0
2026-03-03,14:30,14:30,ponty filé,125.0
2026-03-03,14:30,14:30,egész zöldbab,50.0
2026-03-03,14:30,14:30,sárgarépa,100.0
2026-03-03,14:30,14:30,olívaolaj,8.0
2026-03-03,17:30,17:30,zabpehely,35.0
2026-03-03,17:30,17:30,basmati rizs,30.0
2026-03-03,17:30,17:30,eper,44.0
2026-03-03,17:30,17:30,banán,123.0
2026-03-03,17:30,17:30,mandulavaj,16.5
2026-03-03,20:30,20:30,húsleves alaplé,100.0
2026-03-03,20:30,20:30,sárgaburgonya,250.0
2026-03-03,20:30,20:30,sárgarépa,88.5
2026-03-03,20:30,20:30,cukkini,106.0
2026-03-03,20:30,20:30,csirkemell,100.0
2026-03-03,20:30,20:30,puffasztott kukorica,4.0
2026-03-04,08:40,08:40,basmati rizs,180.0
2026-03-04,08:40,08:40,csirkemell,75.0
2026-03-04,08:40,08:40,sárgarépa,88.0
2026-03-04,08:40,08:40,egész zöldbab,50.0
2026-03-04,08:40,08:40,kék áfonya,40.0
2026-03-04,08:40,08:40,tojássárgája,30.0
2026-03-04,08:40,08:40,tökmagolaj,5.0
2026-03-04,12:40,12:40,basmati rizs,50.0
2026-03-04,12:40,12:40,hántolt köles,30.0
2026-03-04,12:40,12:40,édeskömény,50.0
2026-03-04,12:40,12:40,sárgarépa,100.0
2026-03-04,12:40,12:40,spenót,75.0
2026-03-04,12:40,12:40,ponty filé,130.0
2026-03-04,12:40,12:40,olívaolaj,7.5
2026-03-04,16:30,16:30,banán,80.0
2026-03-04,16:30,16:30,eper,60.0
2026-03-04,16:30,16:30,málna,20.0
2026-03-04,16:30,16:30,zabpehely,35.0
2026-03-04,16:30,16:30,basmati rizs,40.0
2026-03-04,16:30,16:30,mandulavaj,20.0
2026-03-04,19:20,19:20,sárgaburgonya,300.0
2026-03-04,19:20,19:20,sárgarépa,100.0
2026-03-04,19:20,19:20,cukkini,100.0
2026-03-04,19:20,19:20,csirkemell,75.0
2026-03-04,19:20,19:20,olívaolaj,8.0
2026-03-04,19:20,19:20,puffasztott kukorica,24.0
