date,time,meal_name,food_name,grams
2026-03-07,08:30,08:30,basmati rizs,80
2026-03-07,08:30,08:30,csirkemell,78
2026-03-07,08:30,08:30,spenót,75
2026-03-07,08:30,08:30,egész zöldbab,75
2026-03-07,08:30,08:30,kék áfonya,50
2026-03-07,08:30,08:30,tojássárgája,16
2026-03-07,08:30,08:30,tökmagolaj,8
2026-03-07,12:00,12:00,hántolt köles,40
2026-03-07,12:00,12:00,basmati rizs,40
2026-03-07,12:00,12:00,sárgarépa,61
2026-03-07,12:00,12:00,sütőtök,100
2026-03-07,12:00,12:00,édeskömény,50
2026-03-07,12:00,12:00,csirkemell,100
2026-03-07,12:00,12:00,olívaolaj,10
2026-03-07,12:00,12:00,rukkola,10
2026-03-07,15:15,15:15,banán,103
2026-03-07,15:15,15:15,eper,70
2026-03-07,15:15,15:15,zabpehely,40
2026-03-07,15:15,15:15,bio tejrizs,40
2026-03-07,15:15,15:15,kiwi,30
2026-03-07,15:15,15:15,mandulavaj,15
2026-03-07,15:15,15:15,dió,7
2026-03-07,19:00,19:00,sárgaburgonya,200
2026-03-07,19:00,19:00,basmati rizs,30
2026-03-07,19:00,19:00,sárgarépa,100
2026-03-07,19:00,19:00,cukkini,100
2026-03-07,19:00,19:00,csirkemell,75
2026-03-07,19:00,19:00,tojássárgája,16
2026-03-07,19:00,19:00,olívaolaj,6
2026-03-08,08:30,08:30,basmati rizs,80
2026-03-08,08:30,08:30,csirkemell,75
2026-03-08,08:30,08:30,rukkola,10
2026-03-08,08:30,08:30,cukkini,90
2026-03-08,08:30,08:30,kék áfonya,70
2026-03-08,08:30,08:30,tojássárgája,16
2026-03-08,08:30,08:30,tökmagolaj,8
2026-03-08,12:00,12:00,hántolt köles,40
2026-03-08,12:00,12:00,basmati rizs,40
2026-03-08,12:00,12:00,csirkemell,90
2026-03-08,12:00,12:00,tojássárgája,16
2026-03-08,12:00,12:00,cukkini,90
2026-03-08,12:00,12:00,sütőtök,100
2026-03-08,12:00,12:00,spenót,50
2026-03-08,12:00,12:00,lenmagolaj,8
2026-03-08,16:00,16:00,banán,76
2026-03-08,16:00,16:00,eper,90
2026-03-08,16:00,16:00,zabpehely,50
2026-03-08,16:00,16:00,bio tejrizs,30
2026-03-08,16:00,16:00,kiwi,58
2026-03-08,16:00,16:00,mandulavaj,20
2026-03-08,16:00,16:00,dió,7
2026-03-08,19:20,19:20,sárgaburgonya,250
2026-03-08,19:20,19:20,basmati rizs,30
2026-03-08,19:20,19:20,tofu,50
2026-03-08,19:20,19:20,sárgarépa,100
2026-03-08,19:20,19:20,cukkini,80
2026-03-08,19:20,19:20,tojássárgája,16
2026-03-08,19:20,19:20,olívaolaj,8
2026-03-13,08:30,08:30,basmati rizs,70
2026-03-13,08:30,08:30,tofu,130
2026-03-13,08:30,08:30,tojássárgája,16
2026-03-13,08:30,08:30,sárgarépa,80
2026-03-13,08:30,08:30,áfonya,50
2026-03-13,08:30,08:30,olívaolaj,10
2026-03-13,12:30,12:30,basmati rizs,90
2026-03-13,12:30,12:30,ponty filé,159
2026-03-13,12:30,12:30,spenót,44
2026-03-13,12:30,12:30,rukkola,10
2026-03-13,12:30,12:30,dió,10
2026-03-13,12:30,12:30,olívaolaj,8
2026-03-13,16:00,16:00,jázmin rizs,50
2026-03-13,16:00,16:00,zabpehely,25
2026-03-13,16:00,16:00,eper,60
2026-03-13,16:00,16:00,mandulavaj,25
2026-03-13,16:00,16:00,90% étcsoki,9
2026-03-13,16:00,16:00,juharszirup,16
2026-03-13,19:30,19:30,sárgaburgonya,250
2026-03-13,19:30,19:30,tofu,100
2026-03-13,19:30,19:30,tojássárgája,32
2026-03-13,19:30,19:30,cukkini,50
2026-03-13,19:30,19:30,olívaolaj,5
2026-03-14,08:00,08:00,basmati rizs,80
2026-03-14,08:00,08:00,tofu,100
2026-03-14,08:00,08:00,tojás,53
2026-03-14,08:00,08:00,sárgarépa,80
2026-03-14,08:00,08:00,áfonya,30
2026-03-14,08:00,08:00,olívaolaj,10
2026-03-14,12:00,12:00,jázmin rizs,90
2026-03-14,12:00,12:00,ponty filé,159
2026-03-14,12:00,12:00,spenót,63
2026-03-14,12:00,12:00,dió,11
2026-03-14,12:00,12:00,olívaolaj,8
2026-03-14,16:00,16:00,jázmin rizs,50
2026-03-14,16:00,16:00,zabpehely,28
2026-03-14,16:00,16:00,eper,60
2026-03-14,16:00,16:00,mandulavaj,25
2026-03-14,16:00,16:00,90% étcsoki,10
2026-03-14,16:00,16:00,juharszirup,20
2026-03-14,19:30,19:30,sárgaburgonya,266
2026-03-14,19:30,19:30,tofu,100
2026-03-14,19:30,19:30,tojás,53
2026-03-14,19:30,19:30,cukkini,65
2026-03-14,19:30,19:30,juharszirup,22
2026-03-14,19:30,19:30,olívaolaj,5
2026-03-15,08:00,08:00,zabpehely,60
2026-03-15,08:00,08:00,tojás,53
2026-03-15,08:00,08:00,banán,70
2026-03-15,08:00,08:00,mandulavaj,15
2026-03-15,08:00,08:00,áfonya,60
2026-03-15,08:00,08:00,juharszirup,13
2026-03-15,12:00,12:00,basmati rizs,90
2026-03-15,12:00,12:00,ponty filé,159
2026-03-15,12:00,12:00,spenót,63
2026-03-15,12:00,12:00,dió,11
2026-03-15,12:00,12:00,olívaolaj,8
2026-03-15,16:00,16:00,jázmin rizs,80
2026-03-15,16:00,16:00,csirkemell,100
2026-03-15,16:00,16:00,tojás,53
2026-03-15,16:00,16:00,sárgarépa,80
2026-03-15,16:00,16:00,olívaolaj,5
2026-03-15,19:30,19:30,sárgaburgonya,266
2026-03-15,19:30,19:30,tofu,100
2026-03-15,19:30,19:30,tojás,53
2026-03-15,19:30,19:30,cukkini,65
2026-03-15,19:30,19:30,juharszirup,22
2026-03-15,19:30,19:30,olívaolaj,5
2026-03-16,07:00,07:00,zabpehely,65
2026-03-16,07:00,07:00,tojás,106
2026-03-16,07:00,07:00,banán,120
2026-03-16,07:00,07:00,áfonya,70
2026-03-16,10:00,10:00,puffasztott hajdinatallér,20
2026-03-16,10:00,10:00,mandulavaj,20
2026-03-16,10:00,10:00,eper,50
2026-03-16,12:00,12:00,basmati rizs,90
2026-03-16,12:00,12:00,csirkemell,100
2026-03-16,12:00,12:00,spenót,63
2026-03-16,12:00,12:00,petrezselyemgyökér,50
2026-03-16,12:00,12:00,olívaolaj,8
2026-03-16,15:00,15:00,jázmin rizs,40
2026-03-16,15:00,15:00,csirkemell,100
2026-03-16,15:00,15:00,sárgarépa,80
2026-03-16,15:00,15:00,olívaolaj,5
2026-03-16,18:30,18:30,sárgaburgonya,300
2026-03-16,18:30,18:30,tofu,100
2026-03-16,18:30,18:30,tojás,53
2026-03-16,18:30,18:30,cukkini,65
2026-03-16,18:30,18:30,olívaolaj,5
2026-03-17,08:00,08:00,olívaolaj,8
2026-03-17,08:00,08:00,petrezselyemgyökér,50
2026-03-17,08:00,08:00,spenót,60
2026-03-17,08:00,08:00,basmati rizs,70
2026-03-17,08:00,08:00,áfonya,60
2026-03-17,08:00,08:00,tojás,159
2026-03-17,12:00,12:00,olívaolaj,5
2026-03-17,12:00,12:00,füstölt ízű tofu,110
2026-03-17,12:00,12:00,dió,10
2026-03-17,12:00,12:00,egész zöldbab,75
2026-03-17,12:00,12:00,sárgarépa,150
2026-03-17,12:00,12:00,basmati rizs,90
2026-03-17,17:00,17:00,eper,60
2026-03-17,17:00,17:00,jázmin rizs,70
2026-03-17,17:00,17:00,csirkemell,100
2026-03-17,17:00,17:00,juharszirup,15
2026-03-17,20:00,20:00,füstölt ízű tofu,130
2026-03-17,20:00,20:00,cukkini,100
2026-03-17,20:00,20:00,sárgaburgonya,250
2026-03-17,20:00,20:00,olívaolaj,8
